topic,sentiment,count,mean_sentiment_score,interaction_rate,median_engagement,p75_engagement,mean_engagement,mean_likes,mean_retweets,topic_total,share
Coding,Negative,172,-0.683053,0.633721,1.000000,3.000000,6.819767,5.616279,0.395349,1348,0.127596
Coding,Neutral,704,0.109804,0.565341,1.000000,2.000000,3.838068,2.441761,0.666193,1348,0.522255
Coding,Positive,472,0.772043,0.692797,1.000000,3.000000,27.747881,17.190678,3.233051,1348,0.350148
Education,Negative,471,-0.675553,0.668790,1.000000,4.000000,49.673036,38.598726,6.702760,2618,0.179908
Education,Neutral,1348,0.050889,0.537092,1.000000,3.000000,63.391691,51.881306,7.296736,2618,0.514897
Education,Positive,799,0.782180,0.650814,1.000000,4.000000,10.163955,7.989987,1.221527,2618,0.305195
Reliability,Negative,639,-0.713470,0.610329,1.000000,3.000000,12.863850,10.302034,1.217527,1408,0.453835
Reliability,Neutral,553,-0.039062,0.594937,1.000000,3.000000,36.840868,29.406872,4.913201,1408,0.392756
Reliability,Positive,216,0.725805,0.685185,1.000000,3.250000,8.634259,7.046296,0.861111,1408,0.153409
Work,Negative,383,-0.679259,0.629243,1.000000,3.000000,54.644909,43.300261,7.122715,1702,0.225029
Work,Neutral,828,0.037295,0.480676,0.000000,2.000000,14.655797,10.594203,2.636473,1702,0.486486
Work,Positive,491,0.751947,0.562118,1.000000,3.000000,12.376782,9.841141,1.112016,1702,0.288484
