topic,rank,term,mean_tfidf
Coding,1,code,0.075145
Coding,2,developer,0.042412
Coding,3,api,0.037619
Coding,4,ai,0.035466
Coding,5,coding,0.031362
Coding,6,python,0.02828
Coding,7,programming,0.02793
Coding,8,use,0.027011
Coding,9,software,0.025556
Coding,10,openai,0.024586
Coding,11,google,0.020071
Coding,12,using,0.018198
Education,1,student,0.05195
Education,2,education,0.047308
Education,3,school,0.047144
Education,4,exam,0.037469
Education,5,ai,0.036566
Education,6,learn,0.031031
Education,7,learning,0.028229
Education,8,wharton,0.023958
Education,9,essay,0.02382
Education,10,mba,0.022367
Education,11,use,0.02154
Education,12,business,0.021539
Work,1,work,0.09172
Work,2,job,0.074227
Work,3,ai,0.036217
Work,4,microsoft,0.026223
Work,5,tool,0.023575
Work,6,openai,0.021855
Work,7,productivity,0.020496
Work,8,employee,0.019984
Work,9,like,0.019777
Work,10,worker,0.019773
Work,11,destabilize,0.018413
Work,12,future,0.017859
Reliability,1,wrong,0.046365
Reliability,2,fact,0.030071
Reliability,3,ai,0.027055
Reliability,4,issue,0.026384
Reliability,5,answer,0.023946
Reliability,6,trust,0.019282
Reliability,7,security,0.019098
Reliability,8,like,0.017259
Reliability,9,get,0.015643
Reliability,10,question,0.015561
Reliability,11,concern,0.015457
Reliability,12,chat,0.015106
