chapter,section,cluster,cluster_name,count,section_total,proportion
Part 10: Majors and Courses,Applied Mathematics and Computational Sciences with tracks in Computer Science and Mathematics,4,Interdisciplinary learning,1,7,0.1429
Part 10: Majors and Courses,Applied Mathematics and Computational Sciences with tracks in Computer Science and Mathematics,5,Credits and placement,3,7,0.4286
Part 10: Majors and Courses,Applied Mathematics and Computational Sciences with tracks in Computer Science and Mathematics,9,Quantitative and technical study,3,7,0.4286
Part 10: Majors and Courses,Arts (ARTS),5,Credits and placement,1,1,1.0
Part 10: Majors and Courses,Arts and Humanities (ARHU),3,Media and creative practice,2,2,1.0
Part 10: Majors and Courses,Behavior Science (BEHAVSCI),0,Life and environmental sciences,1,11,0.0909
Part 10: Majors and Courses,Behavior Science (BEHAVSCI),1,"Policy, economics and governance",7,11,0.6364
Part 10: Majors and Courses,Behavior Science (BEHAVSCI),9,Quantitative and technical study,3,11,0.2727
Part 10: Majors and Courses,Behavioral Science with tracks in Psychology and Neuroscience,1,"Policy, economics and governance",1,6,0.1667
Part 10: Majors and Courses,Behavioral Science with tracks in Psychology and Neuroscience,4,Interdisciplinary learning,1,6,0.1667
Part 10: Majors and Courses,Behavioral Science with tracks in Psychology and Neuroscience,5,Credits and placement,3,6,0.5
Part 10: Majors and Courses,Behavioral Science with tracks in Psychology and Neuroscience,9,Quantitative and technical study,1,6,0.1667
Part 10: Majors and Courses,Biology (BIOL),0,Life and environmental sciences,29,31,0.9355
Part 10: Majors and Courses,Biology (BIOL),1,"Policy, economics and governance",1,31,0.0323
Part 10: Majors and Courses,Biology (BIOL),9,Quantitative and technical study,1,31,0.0323
Part 10: Majors and Courses,Chemistry (CHEM),0,Life and environmental sciences,5,13,0.3846
Part 10: Majors and Courses,Chemistry (CHEM),5,Credits and placement,1,13,0.0769
Part 10: Majors and Courses,Chemistry (CHEM),9,Quantitative and technical study,7,13,0.5385
Part 10: Majors and Courses,Chinese (CHINESE),6,China and language studies,22,23,0.9565
Part 10: Majors and Courses,Chinese (CHINESE),7,"Degrees, transfer and services",1,23,0.0435
Part 10: Majors and Courses,Chinese Society and Culture (CHSC),5,Credits and placement,2,8,0.25
Part 10: Majors and Courses,Chinese Society and Culture (CHSC),6,China and language studies,6,8,0.75
Part 10: Majors and Courses,"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",1,"Policy, economics and governance",1,10,0.1
Part 10: Majors and Courses,"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",3,Media and creative practice,3,10,0.3
Part 10: Majors and Courses,"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",4,Interdisciplinary learning,2,10,0.2
Part 10: Majors and Courses,"Computation and Design with tracks in Computer Science, Digital Media, and Social Policy",9,Quantitative and technical study,4,10,0.4
Part 10: Majors and Courses,Computer Design (COMPDSGN),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,Computer Science (COMPSCI),3,Media and creative practice,1,20,0.05
Part 10: Majors and Courses,Computer Science (COMPSCI),5,Credits and placement,1,20,0.05
Part 10: Majors and Courses,Computer Science (COMPSCI),9,Quantitative and technical study,18,20,0.9
Part 10: Majors and Courses,Cultural Anthropology (CULANTH),1,"Policy, economics and governance",1,20,0.05
Part 10: Majors and Courses,Cultural Anthropology (CULANTH),3,Media and creative practice,5,20,0.25
Part 10: Majors and Courses,Cultural Anthropology (CULANTH),6,China and language studies,2,20,0.1
Part 10: Majors and Courses,Cultural Anthropology (CULANTH),8,"Society, history and politics",12,20,0.6
Part 10: Majors and Courses,Cultures and Movements (CULMOVE),1,"Policy, economics and governance",1,11,0.0909
Part 10: Majors and Courses,Cultures and Movements (CULMOVE),4,Interdisciplinary learning,3,11,0.2727
Part 10: Majors and Courses,Cultures and Movements (CULMOVE),6,China and language studies,1,11,0.0909
Part 10: Majors and Courses,Cultures and Movements (CULMOVE),8,"Society, history and politics",6,11,0.5455
Part 10: Majors and Courses,"Cultures and Movements with tracks in Cultural Anthropology, Sociology and World History",5,Credits and placement,1,3,0.3333
Part 10: Majors and Courses,"Cultures and Movements with tracks in Cultural Anthropology, Sociology and World History",8,"Society, history and politics",2,3,0.6667
Part 10: Majors and Courses,Data Science,9,Quantitative and technical study,2,2,1.0
Part 10: Majors and Courses,Economics (ECON),1,"Policy, economics and governance",18,23,0.7826
Part 10: Majors and Courses,Economics (ECON),5,Credits and placement,2,23,0.087
Part 10: Majors and Courses,Economics (ECON),8,"Society, history and politics",1,23,0.0435
Part 10: Majors and Courses,Economics (ECON),9,Quantitative and technical study,2,23,0.087
Part 10: Majors and Courses,English (ENGLISH),5,Credits and placement,2,2,1.0
Part 10: Majors and Courses,English for Academic Purposes (EAP),3,Media and creative practice,2,8,0.25
Part 10: Majors and Courses,English for Academic Purposes (EAP),4,Interdisciplinary learning,5,8,0.625
Part 10: Majors and Courses,English for Academic Purposes (EAP),6,China and language studies,1,8,0.125
Part 10: Majors and Courses,Environment (ENVIR),0,Life and environmental sciences,7,16,0.4375
Part 10: Majors and Courses,Environment (ENVIR),1,"Policy, economics and governance",7,16,0.4375
Part 10: Majors and Courses,Environment (ENVIR),5,Credits and placement,1,16,0.0625
Part 10: Majors and Courses,Environment (ENVIR),6,China and language studies,1,16,0.0625
Part 10: Majors and Courses,"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",0,Life and environmental sciences,4,9,0.4444
Part 10: Majors and Courses,"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",1,"Policy, economics and governance",2,9,0.2222
Part 10: Majors and Courses,"Environmental Science with tracks in Biogeochemistry, Biology, Chemistry, and Public Policy",5,Credits and placement,3,9,0.3333
Part 10: Majors and Courses,Ethics and Leadership (ETHLDR),0,Life and environmental sciences,1,13,0.0769
Part 10: Majors and Courses,Ethics and Leadership (ETHLDR),1,"Policy, economics and governance",3,13,0.2308
Part 10: Majors and Courses,Ethics and Leadership (ETHLDR),4,Interdisciplinary learning,2,13,0.1538
Part 10: Majors and Courses,Ethics and Leadership (ETHLDR),8,"Society, history and politics",7,13,0.5385
Part 10: Majors and Courses,"Ethics and Leadership with tracks in Philosophy, Public Policy, Religious Studies",1,"Policy, economics and governance",1,3,0.3333
Part 10: Majors and Courses,"Ethics and Leadership with tracks in Philosophy, Public Policy, Religious Studies",4,Interdisciplinary learning,1,3,0.3333
Part 10: Majors and Courses,"Ethics and Leadership with tracks in Philosophy, Public Policy, Religious Studies",8,"Society, history and politics",1,3,0.3333
Part 10: Majors and Courses,French (FRENCH),4,Interdisciplinary learning,1,2,0.5
Part 10: Majors and Courses,French (FRENCH),5,Credits and placement,1,2,0.5
Part 10: Majors and Courses,German (GERMAN),4,Interdisciplinary learning,1,2,0.5
Part 10: Majors and Courses,German (GERMAN),5,Credits and placement,1,2,0.5
Part 10: Majors and Courses,Global Challenges (GLOCHALL),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,Global China Studies (GCHINA),6,China and language studies,8,8,1.0
Part 10: Majors and Courses,"Global China Studies with tracks in Chinese History, Economics, Philosophy, Political Science and Religious Studies",6,China and language studies,3,3,1.0
Part 10: Majors and Courses,Global Cultural Studies (GCULS),3,Media and creative practice,3,17,0.1765
Part 10: Majors and Courses,Global Cultural Studies (GCULS),4,Interdisciplinary learning,2,17,0.1176
Part 10: Majors and Courses,Global Cultural Studies (GCULS),6,China and language studies,4,17,0.2353
Part 10: Majors and Courses,Global Cultural Studies (GCULS),8,"Society, history and politics",8,17,0.4706
Part 10: Majors and Courses,Global Cultural Studies with tracks in World History and World Literature,3,Media and creative practice,1,2,0.5
Part 10: Majors and Courses,Global Cultural Studies with tracks in World History and World Literature,8,"Society, history and politics",1,2,0.5
Part 10: Majors and Courses,Global Health (GLHLTH),0,Life and environmental sciences,3,15,0.2
Part 10: Majors and Courses,Global Health (GLHLTH),1,"Policy, economics and governance",8,15,0.5333
Part 10: Majors and Courses,Global Health (GLHLTH),3,Media and creative practice,1,15,0.0667
Part 10: Majors and Courses,Global Health (GLHLTH),4,Interdisciplinary learning,1,15,0.0667
Part 10: Majors and Courses,Global Health (GLHLTH),8,"Society, history and politics",2,15,0.1333
Part 10: Majors and Courses,Global Health with Tracks in Biology and Public Policy,1,"Policy, economics and governance",2,3,0.6667
Part 10: Majors and Courses,Global Health with Tracks in Biology and Public Policy,6,China and language studies,1,3,0.3333
Part 10: Majors and Courses,History (HIST),1,"Policy, economics and governance",1,57,0.0175
Part 10: Majors and Courses,History (HIST),3,Media and creative practice,7,57,0.1228
Part 10: Majors and Courses,History (HIST),5,Credits and placement,3,57,0.0526
Part 10: Majors and Courses,History (HIST),6,China and language studies,18,57,0.3158
Part 10: Majors and Courses,History (HIST),7,"Degrees, transfer and services",1,57,0.0175
Part 10: Majors and Courses,History (HIST),8,"Society, history and politics",27,57,0.4737
Part 10: Majors and Courses,Independent Study (INDSTU),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,Information Science (INFOSCI),3,Media and creative practice,2,7,0.2857
Part 10: Majors and Courses,Information Science (INFOSCI),4,Interdisciplinary learning,1,7,0.1429
Part 10: Majors and Courses,Information Science (INFOSCI),9,Quantitative and technical study,4,7,0.5714
Part 10: Majors and Courses,Institutions and Governance (INSTGOV),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,"Institutions and Governance with tracks in Economics, Political Science, and Public Policy",1,"Policy, economics and governance",2,3,0.6667
Part 10: Majors and Courses,"Institutions and Governance with tracks in Economics, Political Science, and Public Policy",5,Credits and placement,1,3,0.3333
Part 10: Majors and Courses,Integrated Science (INTGSCI),0,Life and environmental sciences,2,2,1.0
Part 10: Majors and Courses,Italian (ITALIAN),4,Interdisciplinary learning,1,1,1.0
Part 10: Majors and Courses,Japanese (JAPANESE),4,Interdisciplinary learning,3,3,1.0
